city,region,city_type,year,month,season,avg_temperature_c,humidity_pct,population,population_density_per_km2,gdp_per_capita_usd,industrialization_level,industrial_zones_count,num_subscribers,renewable_energy_pct,grid_loss_pct,smart_meter_adoption_pct,peak_demand_hour,monthly_consumption_gwh,avg_wind_speed_kmh,monthly_rainfall_mm,electricity_price_tl_kwh,co2_emission_tons,avg_daily_sunshine_hours,infrastructure_score
Adana,Mediterranean,Large City,2017,4,Spring,24.32,63.33,2237940,471.54,,High,7.0,796776.0,24.63,11.58,37.32,19:00,1.3063,"74,7",202.9 mm,₺1.6,"55,762",  8.6  ,47%
Adana,Mediterranean,Large City,2018,11,Autumn,25.26,75.55,2237940,648.01,17703.24,High,8.0,691505.0,25.1,18.85,31.59,21:00,1.4268,"45,7",19.6 mm,₺1.1,"286,944",  11.4  ,81%
Canakkale,Marmara,Small City,2021,5,Spring,16.52,60.04,542000,338.08,8865.94,Low,1.0,202021.0,,17.22,55.68,09:00,0.5273,"8,1",91.9 mm,₺2.25,"84,515",  4.0  ,87%
Kayseri,Central Anatolia,Large City,2015,7,Summer,28.87,76.43,1441523,377.76,,Medium,5.0,488187.0,29.95,11.78,20.92,10:00,0.8404,"44,4",276.8 mm,₺1.96,"288,892",  11.9  ,43%
Eskisehir,Central Anatolia,Medium City,2017,2,Winter,-0.57,51.6,882456,276.4,14181.44,Medium,4.0,,13.58,5.69,37.66,20:00,0.6397,"53,0",162.6 mm,₺1.51,"898,825",  4.3  ,89%
Balıkesir,Marmara,Medium City,2022,8,Summer,30.43,58.55,1264958,615.46,11385.87,Low,4.0,394411.0,27.02,16.85,47.68,09:00,0.7129,,153.4 mm,₺1.27,"152,746",  6.3  ,39%
Izmir,Aegean,Megacity,2021,11,Autumn,17.15,45.22,4394694,6107.91,18991.71,High,12.0,1303798.0,41.31,15.33,20.16,20:00,3.0928,,219.1 mm,₺2.05,"584,585",  7.4  ,41%
Eskisehir,Central Anatolia,Medium City,2019,7,Summer,28.47,66.52,882456,344.13,12294.93,Medium,4.0,325987.0,23.92,9.29,21.78,19:00,0.5865,"65,0",160.4 mm,₺2.45,"465,964",  4.5  ,63%
Mugla,Aegean,Medium City,2019,10,Autumn,22.45,42.55,1012321,1015.19,10392.5,Low,3.0,352457.0,33.22,16.96,,21:00,0.4178,"67,6",19.4 mm,₺2.11,"250,215",  11.1  ,36%
Malatya,Eastern Anatolia,Medium City,2023,9,Autumn,8.37,53.32,781118,332.63,11987.05,Low,2.0,239195.0,9.95,8.81,47.11,09:00,0.3501,"23,9",135.9 mm,₺2.28,"759,404",  7.2  ,30%
Balıkesir,Marmara,Medium City,2018,6,Summer,31.82,64.18,1264958,322.55,9375.44,Low,5.0,379714.0,10.25,9.65,69.07,18:00,0.7138,"77,6",205.3 mm,₺0.52,"337,443",  2.8  ,78%
Adana,Mediterranean,Large City,2019,3,Spring,24.77,51.09,2237940,710.2,16269.56,High,7.0,690770.0,36.09,13.72,57.72,18:00,1.4182,"40,0",98.4 mm,₺0.99,"772,773",  8.9  ,30%
Trabzon,Black Sea,Medium City,2015,2,Winter,-0.55,80.02,811874,920.95,7213.06,Low,4.0,282550.0,34.5,12.68,12.71,18:00,0.4406,"24,8",119.7 mm,₺0.69,"519,833",  6.0  ,80%
Afyonkarahisar,Aegean,Small City,2017,12,Winter,,73.74,734000,176.33,10300.95,Low,1.0,266779.0,15.25,11.31,60.12,09:00,0.4412,,12.0 mm,₺0.97,"846,260",  5.0  ,40%
Samsun,Black Sea,Large City,2017,10,Autumn,13.95,66.13,1361505,358.74,8167.16,Low,5.0,427018.0,20.93,6.38,43.96,20:00,0.5377,"46,2",96.7 mm,₺1.99,,  5.2  ,44%
Istanbul,Marmara,Megacity,2017,3,Spring,19.18,58.42,15840900,7079.09,17615.14,High,41.0,5714360.0,9.54,8.71,59.59,21:00,8.8397,"33,3",164.8 mm,₺1.63,"400,324",  4.2  ,53%
Mersin,Mediterranean,Large City,2021,10,Autumn,22.61,67.36,1936586,2761.63,16214.06,Medium,6.0,598600.0,44.5,15.58,13.75,09:00,0.9383,"20,3",79.1 mm,₺2.38,"614,274",  4.5  ,96%
Konya,Central Anatolia,Large City,2021,4,Spring,15.68,62.94,2320259,1423.51,13856.7,Medium,7.0,691718.0,13.27,,15.92,10:00,1.0604,"73,7",215.1 mm,₺0.67,"278,649",  4.9  ,84%
Kahramanmaras,Mediterranean,Medium City,2020,9,Autumn,20.9,72.54,1178234,348.3,10492.47,Low,4.0,366440.0,7.08,7.87,57.56,21:00,0.4861,"75,4",93.9 mm,₺1.45,"377,518",  6.5  ,36%
Sivas,Central Anatolia,Medium City,2016,5,Spring,17.67,64.35,634149,415.92,8415.81,Low,2.0,224961.0,10.64,15.18,17.5,19:00,0.2323,"67,8",34.5 mm,₺0.77,"725,690",  2.9  ,43%
Hatay,Mediterranean,Large City,2017,2,Winter,10.61,57.58,1609856,481.16,9295.94,Low,5.0,593896.0,28.89,14.81,47.62,09:00,0.9266,"37,5",221.7 mm,₺1.38,"377,080",  2.5  ,
Antalya,Mediterranean,Large City,2018,3,Spring,24.75,78.34,2619832,562.08,10059.19,Low,8.0,987400.0,37.96,14.71,56.41,08:00,1.095,"58,7",225.4 mm,₺0.67,"165,899",  2.6  ,59%
Tekirdag,Marmara,Medium City,2023,11,Autumn,16.23,63.3,1085000,842.85,14753.81,Medium,2.0,379292.0,13.36,13.12,24.86,20:00,0.614,"68,9",181.8 mm,,"328,813",  3.0  ,53%
Istanbul,Marmara,Megacity,2018,5,Spring,15.97,76.59,15840900,4485.33,17101.05,High,40.0,4837196.0,41.14,6.46,,18:00,9.891,"10,9",29.2 mm,₺1.0,"563,230",  10.8  ,90%
Erzurum,Eastern Anatolia,Medium City,2021,8,Summer,21.24,54.58,762321,201.0,,Low,1.0,242048.0,31.5,5.51,43.0,08:00,0.3922,"35,7",177.2 mm,₺1.26,"81,176",  4.3  ,90%
Eskisehir,Central Anatolia,Medium City,2022,9,Autumn,15.43,57.85,882456,310.84,15306.42,Medium,4.0,253573.0,23.15,8.54,21.03,18:00,0.4953,"53,1",34.4 mm,₺2.01,"626,193",  8.2  ,92%
Kocaeli,Marmara,Large City,2015,11,Autumn,,73.43,2031963,631.42,19199.96,High,,763593.0,15.27,15.07,60.03,08:00,1.2354,"78,2",63.0 mm,₺1.01,"705,797",  7.1  ,39%
Afyonkarahisar,Aegean,Small City,2018,8,Summer,34.15,75.48,734000,205.94,8266.27,Low,3.0,242603.0,34.13,12.17,65.33,10:00,0.3494,"57,9",50.5 mm,₺2.11,"678,951",  9.0  ,81%
Gaziantep,Southeastern Anatolia,Large City,2021,6,Summer,36.52,81.25,2101263,2995.37,17882.59,High,8.0,623156.0,26.03,12.68,51.97,21:00,1.7163,"52,7",228.6 mm,₺1.15,"720,945",  10.9  ,84%
Trabzon,Black Sea,Medium City,2022,5,Spring,17.82,62.52,811874,1582.71,8812.54,Low,2.0,278831.0,24.04,6.66,60.1,09:00,0.3256,"20,4",162.7 mm,₺2.31,,  3.7  ,46%
Bursa,Marmara,Large City,2020,8,Summer,25.91,80.09,3056120,5705.29,17870.73,High,8.0,1161215.0,31.38,10.8,22.7,,2.4108,"27,0",43.1 mm,₺1.83,"390,573",  2.4  ,89%
Kahramanmaras,Mediterranean,Medium City,2023,4,Spring,24.39,74.95,1178234,1045.83,11352.16,Low,2.0,337287.0,24.5,5.5,68.92,18:00,0.3966,"17,0",66.7 mm,₺1.11,"543,730",  6.6  ,84%
Kayseri,Central Anatolia,Large City,2023,5,Spring,18.13,45.67,1441523,513.36,12589.01,Medium,3.0,477165.0,40.6,17.27,57.86,18:00,0.7071,"27,8",215.3 mm,₺0.79,"829,510",  2.2  ,80%
Adana,Mediterranean,Large City,2016,5,Spring,28.31,42.15,2237940,3165.35,17305.61,High,7.0,629844.0,19.24,16.37,,19:00,1.2092,"58,9",246.1 mm,₺1.3,"234,771",  8.9  ,82%
Bursa,Marmara,Large City,2023,5,Spring,15.93,52.8,3056120,719.18,17953.92,High,,954258.0,26.41,7.54,38.61,08:00,1.8093,"76,8",104.0 mm,₺2.11,"488,039",  3.4  ,81%
Samsun,Black Sea,Large City,2016,9,Autumn,12.27,73.68,1361505,550.61,8788.61,Low,5.0,492490.0,37.29,17.92,43.33,08:00,0.6107,"6,2",251.6 mm,₺0.7,"472,489",  3.5  ,99%
Denizli,Aegean,Medium City,2019,11,Autumn,14.16,62.15,1062840,257.37,13804.59,Medium,3.0,361590.0,,11.65,48.44,10:00,0.5363,"28,4",214.2 mm,₺0.93,"456,258",  4.7  ,38%
Kahramanmaras,Mediterranean,Medium City,2023,6,Summer,,41.63,1178234,431.51,9334.53,Low,2.0,367842.0,25.22,14.75,,21:00,0.6522,"8,7",223.8 mm,₺1.74,"275,360",  7.6  ,55%
Eskisehir,Central Anatolia,Medium City,2022,10,Autumn,13.65,73.65,882456,269.03,11625.95,Medium,4.0,280069.0,40.51,8.79,64.99,08:00,0.43,"70,6",219.1 mm,₺0.85,"693,178",  7.3  ,34%
Mardin,Southeastern Anatolia,Small City,2016,2,Winter,7.8,74.25,833645,607.26,9309.37,Low,4.0,306902.0,37.47,16.13,28.06,21:00,0.4149,"57,0",253.8 mm,₺1.27,"41,998",  11.4  ,55%
Mersin,Mediterranean,Large City,2023,11,Autumn,20.06,63.0,1936586,592.0,12526.36,Medium,6.0,728767.0,34.25,16.7,42.4,20:00,1.0737,"67,0",213.9 mm,₺2.02,"684,971",  3.1  ,40%
Hatay,Mediterranean,Large City,2017,8,Summer,34.3,48.19,1609856,974.61,10227.82,Low,4.0,491781.0,,15.11,60.68,09:00,0.8095,"73,9",14.5 mm,₺1.14,"595,476",  7.5  ,59%
Istanbul,Marmara,Megacity,2015,3,Spring,16.51,46.44,15840900,9787.82,17814.4,High,42.0,5205594.0,18.57,5.94,17.09,08:00,8.8674,"16,5",128.8 mm,₺0.61,"407,956",  7.8  ,69%
Izmir,Aegean,Megacity,2016,1,Winter,5.4,82.4,4394694,956.08,21014.24,High,11.0,1322082.0,38.62,15.24,40.02,20:00,8.3194,"40,3",238.2 mm,,"701,926",  6.4  ,73%
Mugla,Aegean,Medium City,2019,10,Autumn,16.05,73.45,1012321,272.22,5183.89,Low,2.0,326904.0,14.35,5.8,61.23,20:00,0.3819,"46,0",49.1 mm,₺1.88,"723,992",  3.2  ,56%
Diyarbakir,Southeastern Anatolia,Large City,2015,10,Autumn,16.44,60.79,1801268,1090.31,11244.07,Low,5.0,529413.0,29.6,18.68,,,0.7197,"43,7",81.3 mm,₺2.25,"689,502",  4.6  ,54%
Sakarya,Marmara,Medium City,2022,3,Spring,20.24,,1003000,1268.02,12609.95,Medium,3.0,366497.0,32.64,11.32,,08:00,0.4411,"59,0",261.0 mm,₺0.96,"185,070",,74%
Mardin,Southeastern Anatolia,Small City,2018,4,Spring,23.97,58.72,833645,206.12,8512.05,Low,3.0,290808.0,13.48,6.58,20.3,20:00,0.29,"66,7",125.2 mm,,"287,028",  2.4  ,62%
Antalya,Mediterranean,Large City,2022,7,Summer,38.21,83.45,2619832,1496.24,10958.33,Low,7.0,918975.0,26.7,7.13,67.39,19:00,1.5596,,297.9 mm,₺2.46,"536,437",  2.5  ,97%
Hatay,Mediterranean,Large City,2022,12,Winter,6.77,80.69,1609856,848.35,9966.38,Low,6.0,461066.0,21.63,18.12,67.57,10:00,0.8601,"22,6",286.3 mm,₺0.68,"583,729",  9.3  ,47%
Malatya,Eastern Anatolia,Medium City,2018,7,Summer,19.62,49.09,781118,160.98,10730.88,Low,3.0,232849.0,10.4,,59.89,18:00,0.3835,"12,9",14.5 mm,,"215,276",  9.3  ,59%
Erzurum,Eastern Anatolia,Medium City,2022,1,Winter,-6.24,52.28,762321,476.11,9081.25,Low,1.0,265598.0,7.08,8.61,15.54,20:00,0.4789,"51,0",94.3 mm,₺0.8,"43,511",  3.0  ,80%
Sivas,Central Anatolia,Medium City,2021,6,Summer,28.17,76.77,634149,134.07,7618.89,Low,1.0,205098.0,31.03,17.2,18.09,10:00,0.4176,"23,3",,,"516,128",  9.8  ,38%
Bursa,Marmara,Large City,2017,2,Winter,2.11,48.36,3056120,741.23,17177.7,High,8.0,1117317.0,20.42,12.6,58.75,10:00,2.5239,"67,0",100.2 mm,₺2.0,"30,154",  11.9  ,63%
Malatya,Eastern Anatolia,Medium City,2017,12,Winter,-4.93,57.92,781118,191.56,,Low,3.0,282145.0,25.94,18.82,,10:00,0.4779,"39,9",211.2 mm,₺1.27,"591,969",  2.0  ,32%
Erzurum,Eastern Anatolia,Medium City,2023,9,Autumn,10.51,78.29,762321,318.17,4837.22,Low,3.0,224181.0,13.54,16.33,41.92,21:00,0.3842,"56,8",62.4 mm,₺1.01,"878,115",,79%
Afyonkarahisar,Aegean,Small City,2016,9,Autumn,16.26,41.55,734000,508.17,10792.24,Low,1.0,243455.0,11.98,,27.12,20:00,0.2664,"31,6",110.9 mm,₺1.8,"214,622",  3.8  ,
Malatya,Eastern Anatolia,Medium City,2017,3,Spring,9.85,63.14,781118,316.04,9120.48,Low,1.0,255254.0,23.3,,30.24,21:00,0.3139,"12,8",144.3 mm,₺1.0,"841,761",  5.6  ,73%
Afyonkarahisar,Aegean,Small City,2023,10,Autumn,20.07,41.32,734000,442.42,7359.33,Low,2.0,207916.0,23.1,12.6,14.51,10:00,0.3667,"27,4",240.9 mm,₺1.86,"318,341",  8.3  ,53%
Mardin,Southeastern Anatolia,Small City,2019,2,Winter,3.64,64.59,833645,196.28,9612.05,Low,4.0,304125.0,22.79,10.08,,19:00,1.4658,"17,2",284.6 mm,₺0.69,"211,448",  2.8  ,98%
Malatya,Eastern Anatolia,Medium City,2022,4,Spring,11.31,70.85,781118,172.41,7227.2,Low,1.0,261302.0,25.82,8.06,59.75,19:00,0.3051,"22,5",129.3 mm,₺1.84,,  5.8  ,35%
Diyarbakir,Southeastern Anatolia,Large City,2019,2,Winter,4.73,47.58,1801268,540.37,8849.41,Low,6.0,658967.0,19.87,9.48,74.91,10:00,1.1028,"45,8",,₺1.54,"528,617",  5.1  ,95%
Hatay,Mediterranean,Large City,2023,11,Autumn,21.76,69.03,1609856,480.96,11120.85,Low,6.0,584611.0,18.36,5.54,65.22,20:00,0.6741,"31,6",62.5 mm,₺1.58,"341,810",  6.5  ,30%
Mugla,Aegean,Medium City,2023,2,Winter,6.68,83.1,1012321,298.48,8896.71,Low,2.0,304591.0,36.45,,22.79,09:00,0.6265,"60,8",111.0 mm,₺0.6,"207,580",  10.2  ,89%
Van,Eastern Anatolia,Medium City,2017,3,Spring,10.01,,1126384,613.63,9196.87,Low,2.0,386350.0,42.14,13.85,64.95,19:00,0.4461,"53,6",244.9 mm,₺0.69,"349,327",  6.3  ,
Mardin,Southeastern Anatolia,Small City,2017,7,Summer,39.19,57.49,833645,265.34,7729.56,Low,2.0,270469.0,28.86,13.19,10.95,,0.4491,"62,8",146.0 mm,₺2.28,"211,015",  4.0  ,61%
Manisa,Aegean,Medium City,2020,11,Autumn,20.35,57.29,1452881,478.11,10603.66,Medium,3.0,538325.0,36.28,16.18,35.71,10:00,0.7493,"64,3",137.7 mm,₺1.26,"437,227",  2.3  ,40%
Balıkesir,Marmara,Medium City,2020,4,Spring,16.45,84.36,1264958,1619.17,10552.41,Low,3.0,366772.0,31.62,17.1,47.51,21:00,0.4799,"44,5",272.9 mm,₺1.17,"716,079",  7.3  ,52%
Diyarbakir,Southeastern Anatolia,Large City,2016,9,Autumn,21.69,,1801268,648.01,11459.9,Low,4.0,579569.0,12.1,5.2,53.27,,0.6858,"24,2",170.9 mm,₺1.9,"642,820",  6.9  ,41%
Van,Eastern Anatolia,Medium City,2018,8,Summer,22.35,80.31,1126384,267.58,8296.29,Low,2.0,408434.0,14.62,15.09,53.75,08:00,0.5288,"79,7",290.3 mm,₺1.67,"460,864",  3.3  ,36%
Gaziantep,Southeastern Anatolia,Large City,2018,5,Spring,20.06,64.46,2101263,693.84,16105.85,High,7.0,730617.0,36.61,8.27,62.21,08:00,1.2819,"13,0",255.2 mm,₺2.09,"232,283",  6.5  ,67%
Ankara,Central Anatolia,Megacity,2021,4,Spring,13.48,51.84,5639076,1811.14,18493.67,High,16.0,1893284.0,30.65,8.95,14.17,20:00,3.1856,"36,1",266.2 mm,₺1.44,,  4.4  ,93%
Adana,Mediterranean,Large City,2018,7,Summer,40.28,53.45,2237940,650.97,14846.19,High,6.0,766589.0,30.93,19.0,47.78,09:00,1.8102,"16,6",88.4 mm,₺0.7,"37,839",  7.4  ,69%
Diyarbakir,Southeastern Anatolia,Large City,2019,3,Spring,23.84,83.48,1801268,421.43,7435.98,Low,4.0,656026.0,23.3,9.02,30.38,10:00,0.7122,"43,0",259.6 mm,₺1.45,"150,705",  10.9  ,81%
Gaziantep,Southeastern Anatolia,Large City,2019,1,Winter,5.68,68.13,2101263,1326.32,19519.41,High,8.0,642905.0,23.38,14.34,47.81,10:00,1.6864,"65,5",210.2 mm,₺1.91,"812,598",  2.2  ,98%
Afyonkarahisar,Aegean,Small City,2020,10,Autumn,21.49,60.85,734000,193.77,7267.49,Low,2.0,219523.0,6.89,7.04,25.92,21:00,0.3007,"40,6",274.3 mm,₺2.23,"252,698",  5.3  ,76%
Sivas,Central Anatolia,Medium City,2019,1,Winter,0.29,,634149,137.37,10007.22,Low,2.0,198187.0,29.04,19.86,71.18,10:00,0.3894,"37,6",235.7 mm,₺1.7,"650,780",  12.0  ,44%
Sakarya,Marmara,Medium City,2016,3,Spring,18.03,71.92,1003000,1820.65,13092.67,Medium,2.0,351417.0,37.83,9.5,24.29,20:00,0.4445,"29,9",86.3 mm,₺1.09,"177,368",  6.8  ,61%
Sivas,Central Anatolia,Medium City,2019,9,Autumn,10.51,59.13,634149,193.99,9083.11,Low,3.0,215152.0,15.94,13.56,60.39,10:00,0.2769,"10,8",11.4 mm,₺0.76,"279,295",  11.4  ,73%
Erzurum,Eastern Anatolia,Medium City,2022,7,Summer,21.83,60.78,762321,1052.51,7048.65,Low,1.0,267271.0,22.41,,51.03,20:00,0.425,"59,3",155.4 mm,₺1.42,"606,299",  10.8  ,43%
Bursa,Marmara,Large City,2016,10,Autumn,13.84,70.11,3056120,1913.53,16239.18,High,10.0,1142580.0,33.03,13.84,32.74,09:00,1.6195,"61,4",154.0 mm,₺1.74,"306,230",  5.9  ,92%
Denizli,Aegean,Medium City,2018,5,Spring,25.21,50.04,1062840,998.38,13109.97,Medium,4.0,,12.11,12.97,42.45,18:00,0.6008,"51,1",253.7 mm,₺2.06,"435,820",  8.0  ,81%
